segment_id,segment_name,district,mapping_method,confidence,midpoint_latitude,midpoint_longitude,distance_m,estimated_travel_time_s,road_type,walkable,population,population_density,total_reported_cases,cases_per_100k,severity_weighted_cases_per_100k,recent_cases_per_100k,recent_severity_per_100k,crime_trend_slope,historical_baseline,lighting_score,cctv_coverage_score,footfall_proxy,distance_to_police_m,distance_to_hospital_m,distance_to_medical_facility_m,distance_to_public_toilet_m,distance_to_nearest_amenity_m,distance_to_transit_node_m,nearest_hotspot_distance_m,nearest_hotspot_intensity,has_police_nearby,has_hospital_nearby,has_public_toilet_nearby,lighting_data_synthetic,cctv_data_synthetic,mobility_data_synthetic,hotspot_data_synthetic
1016,Karol Bagh to Rajouri Garden,West,midpoint/locality administrative mapping,medium,28.6495,77.15585,7100,568,trunk,True,2543243,19715,6443,253.338,184.668,316.1554,230.4084,-7.5143,8.8522,81,58,2153,3407.2314303348026,8432.44973076959,8432.44973076959,3273.357960208268,3273.357960208268,3223.0189209386963,5736.96632219391,88.0,False,False,False,True,True,True,True
1017,Rajouri Garden to Janakpuri,West,midpoint/locality administrative mapping,high,28.63445,77.10445,4300,344,primary,True,2543243,19715,6443,253.338,184.668,316.1554,230.4084,-7.5143,8.8522,98,55,2866,1786.5627832080045,12423.888211018084,12423.888211018084,8334.236552574795,8334.236552574795,8253.03679475884,8086.285629078208,85.0,False,False,False,True,True,True,True
1018,Janakpuri to Dwarka Sec 23,South West,midpoint/locality administrative mapping,high,28.5888,77.07085000000001,8100,648,primary,True,2292958,5459,4743,206.8507,150.8483,258.4696,188.4349,-1.2286,8.9431,97,65,4139,4023.4841010521145,13563.092351887823,13563.092351887823,4145.565763833845,4145.565763833845,4250.264559303806,12210.538185679276,85.0,False,False,False,True,True,True,True
1019,CP to Daryaganj,Central,midpoint/locality administrative mapping,high,28.64045,77.22999999999999,2800,224,primary,True,582320,23293,2052,352.3836,259.0023,439.8612,323.3808,-2.0571,35.8356,100,62,2127,1635.607015774863,1155.7183090634257,1155.7183090634257,1501.4565405299716,1155.7183090634257,1129.0081297053523,1571.9253096447999,88.0,False,True,False,True,True,True,True
1020,Daryaganj to Kashmere Gate,North,midpoint/locality administrative mapping,medium,28.65735,77.2353,2300,184,primary,True,887978,14799,2583,290.8856,212.5678,363.3649,265.5221,-1.2286,25.0511,88,75,2859,523.2528705269393,2373.393513016339,2373.393513016339,1287.907396810066,1287.907396810066,895.1988872731362,2591.3091829093505,88.0,True,False,False,True,True,True,True
1021,Kashmere Gate to Civil Lines,North,midpoint/locality administrative mapping,high,28.67385,77.22625,1800,144,primary,True,887978,14799,2583,290.8856,212.5678,363.3649,265.5221,-1.2286,25.0511,90,69,3518,824.9478987286282,4384.937861894827,4384.937861894827,780.5858037349843,780.5858037349843,731.2681490724376,3605.2332489685446,88.0,True,False,True,True,True,True,True
1022,Civil Lines to Model Town,North,midpoint/locality administrative mapping,medium,28.691850000000002,77.20779999999999,3600,288,secondary,True,887978,14799,2583,290.8856,212.5678,363.3649,265.5221,-1.2286,25.0511,74,46,359,3406.1007802357685,6945.179657285114,6945.179657285114,3393.8795939439296,3393.8795939439296,3360.284661968907,5445.550668722064,88.0,False,False,False,True,True,True,True
1023,Model Town to Shalimar Bagh,North West,midpoint/locality administrative mapping,medium,28.70895,77.17580000000001,3800,304,secondary,True,3656539,8310,9742,266.4268,194.0268,332.8995,242.3351,-2.8,18.0429,64,38,369,4101.767800776784,10255.832372543478,10255.832372543478,6905.4968896426135,6905.4968896426135,6882.5305516118615,8214.954275079734,88.0,False,False,False,True,True,True,True
1024,Shalimar Bagh to Rohini Sec 18,North West,midpoint/locality administrative mapping,high,28.7258,77.14545,3300,264,secondary,True,3656539,8310,9742,266.4268,194.0268,332.8995,242.3351,-2.8,18.0429,54,18,1123,2492.369799091712,13611.04790381699,13611.04790381699,9938.279369303036,9938.279369303036,10000.11628373884,8394.31777128385,85.0,False,False,False,True,True,True,True
1025,Daryaganj to Preet Vihar (Vikas Marg),East,midpoint/locality administrative mapping,medium,28.64515,77.26785,5700,456,trunk,True,1709346,26708,4769,278.9956,203.6906,347.9986,254.0699,-7.2857,14.1166,80,72,3755,3697.4123328853793,2787.415416511599,2787.415416511599,4585.019893271771,2787.415416511599,3154.279711537889,2596.956097785589,92.0,False,False,False,True,True,True,True
1026,Preet Vihar to Shahdara,East,midpoint/locality administrative mapping,medium,28.6573,77.29185,3400,272,primary,True,1709346,26708,4769,278.9956,203.6906,347.9986,254.0699,-7.2857,14.1166,87,72,3097,1803.5081542659195,5469.979851363979,5469.979851363979,6322.490635338421,5469.979851363979,2624.9856128114925,2604.96940052512,92.0,False,False,False,True,True,True,True
1027,Shahdara to Seelampur,North East,midpoint/locality administrative mapping,medium,28.6705,77.27844999999999,2100,168,secondary,True,2241624,36155,5312,236.9711,172.603,295.7633,215.3711,-5.7714,8.1898,47,34,794,997.4689023519222,5250.040233528262,5250.040233528262,4937.431228938271,4937.431228938271,4506.68953699289,1005.4083188364581,92.0,True,False,False,True,True,True,True
1028,Seelampur to Nand Nagri,North East,midpoint/locality administrative mapping,high,28.683500000000002,77.28545,4700,376,secondary,True,2241624,36155,5312,236.9711,172.603,295.7633,215.3711,-5.7714,8.1898,58,41,83,1176.3082297130723,6782.820788182306,6782.820788182306,5897.325531312734,5897.325531312734,5044.509085663027,2355.392868112787,86.0,False,False,False,True,True,True,True
1029,Lajpat Nagar to Mayur Vihar (DND Link),South East,midpoint/locality administrative mapping,medium,28.5884,77.2704,6800,544,trunk,True,2283000,22382,5845,256.0228,186.9665,319.8292,233.5149,-2.6,16.4164,95,71,3281,3294.465552796212,6079.604192516822,6079.604192516822,4426.4288370517825,4426.4288370517825,3728.8555662140457,6516.491117250378,84.0,False,False,False,True,True,True,True
1030,Okhla Ind Area to Sarita Vihar,South East,midpoint/locality administrative mapping,high,28.5355,77.27735,1800,144,secondary,True,2283000,22382,5845,256.0228,186.9665,319.8292,233.5149,-2.6,16.4164,38,22,635,4846.169302574817,7463.107437810247,6971.0986346278805,6656.03665498896,6656.03665498896,5410.606854288936,873.3083623879686,84.0,False,False,False,True,True,True,True
